Order_ID,Date,Customer_ID,Product_ID,Qty,Selling_Price,Sales_Value,Delivery_Date,Status
ORD001,2026-01-05,C001,P001,5,52000,260000,2026-01-09,Delivered
ORD002,2026-01-07,C002,P002,8,23000,184000,2026-01-12,Delivered
ORD003,2026-01-09,C003,P003,20,1000,20000,2026-01-13,Delivered
ORD004,2026-01-11,C004,P004,25,650,16250,2026-01-15,Delivered
ORD005,2026-01-13,C005,P005,6,12000,72000,2026-01-18,Delivered
ORD006,2026-01-15,C006,P006,4,9500,38000,2026-01-20,Delivered
ORD007,2026-01-18,C007,P007,12,1800,21600,2026-01-23,Delivered
ORD008,2026-01-20,C008,P008,10,2500,25000,2026-01-25,Delivered
ORD009,2026-01-22,C009,P009,8,6500,52000,2026-01-28,Pending
ORD010,2026-01-25,C010,P010,5,9000,45000,2026-01-30,Delivered
ORD011,2026-01-28,C011,P011,10,2600,26000,2026-02-02,Delivered
ORD012,2026-01-30,C012,P012,7,4200,29400,2026-02-04,Delivered
ORD013,2026-02-02,C013,P013,15,2200,33000,2026-02-06,Delivered
ORD014,2026-02-04,C014,P014,12,2500,30000,2026-02-09,Pending
ORD015,2026-02-06,C015,P015,10,1800,18000,2026-02-10,Delivered
ORD016,2026-02-09,C016,P016,20,1000,20000,2026-02-13,Delivered
ORD017,2026-02-11,C017,P017,8,3500,28000,2026-02-15,Delivered
ORD018,2026-02-13,C018,P018,10,2600,26000,2026-02-17,Delivered
ORD019,2026-02-16,C019,P019,6,3500,21000,2026-02-20,Pending
ORD020,2026-02-18,C020,P020,7,4200,29400,2026-02-22,Delivered
ORD021,2026-02-21,C021,P021,30,450,13500,2026-02-24,Delivered
ORD022,2026-02-23,C022,P022,25,750,18750,2026-02-27,Delivered
ORD023,2026-02-25,C023,P023,20,1000,20000,2026-02-27,Delivered
ORD024,2026-02-27,C024,P024,15,1200,18000,2026-03-03,Pending
ORD025,2026-03-02,C025,P025,6,6500,39000,2026-03-06,Delivered
ORD026,2026-03-04,C026,P026,8,5000,40000,2026-03-09,Delivered
ORD027,2026-03-06,C027,P027,5,8000,40000,2026-03-11,Delivered
ORD028,2026-03-09,C028,P028,20,1300,26000,2026-03-13,Delivered
ORD029,2026-03-11,C029,P029,12,1800,21600,2026-03-15,Pending
ORD030,2026-03-13,C030,P030,8,4200,33600,2026-03-17,Delivered
ORD031,2026-03-16,C031,P031,25,800,20000,2026-03-19,Delivered
ORD032,2026-03-18,C032,P032,20,1400,28000,2026-03-22,Delivered
ORD033,2026-03-20,C033,P033,30,950,28500,2026-03-24,Pending
ORD034,2026-03-23,C034,P034,10,3500,35000,2026-03-27,Delivered
ORD035,2026-03-25,C035,P035,15,2200,33000,2026-03-29,Delivered
ORD036,2026-03-27,C036,P036,5,6500,32500,2026-03-31,Delivered
ORD037,2026-03-30,C037,P037,4,9000,36000,2026-04-03,Pending
ORD038,2026-04-02,C038,P038,6,4000,24000,2026-04-06,Delivered
ORD039,2026-04-04,C039,P039,7,6500,45500,2026-04-09,Delivered
ORD040,2026-04-06,C040,P040,5,9000,45000,2026-04-10,Delivered
ORD041,2026-04-09,C041,P041,4,9500,38000,2026-04-13,Delivered
ORD042,2026-04-11,C042,P042,5,10500,52500,2026-04-15,Pending
ORD043,2026-04-14,C043,P043,3,7500,22500,2026-04-18,Delivered
ORD044,2026-04-16,C044,P044,20,4500,90000,2026-04-20,Delivered
ORD045,2026-04-18,C045,P045,30,800,24000,2026-04-22,Delivered
ORD046,2026-04-21,C046,P046,25,1200,30000,2026-04-25,Pending
ORD047,2026-04-23,C047,P047,20,900,18000,2026-04-27,Delivered
ORD048,2026-04-25,C048,P048,50,150,7500,2026-04-29,Delivered
ORD049,2026-04-28,C049,P049,30,350,10500,2026-05-02,Delivered
ORD050,2026-04-30,C050,P050,40,500,20000,2026-05-04,Pending
ORD051,2026-05-03,C051,P051,25,5500,137500,2026-05-07,Delivered
ORD052,2026-05-05,C052,P052,15,8000,120000,2026-05-10,Delivered
ORD053,2026-05-07,C053,P053,10,9000,90000,2026-05-12,Delivered
ORD054,2026-05-09,C054,P054,15,7000,105000,2026-05-14,Pending
ORD055,2026-05-12,C055,P055,20,5500,110000,2026-05-16,Delivered
ORD056,2026-05-14,C056,P056,12,4500,54000,2026-05-18,Delivered
ORD057,2026-05-16,C057,P057,25,450,11250,2026-05-20,Delivered
ORD058,2026-05-19,C058,P058,30,150,4500,2026-05-23,Pending
ORD059,2026-05-21,C059,P059,35,250,8750,2026-05-25,Delivered
ORD060,2026-05-23,C060,P060,40,300,12000,2026-05-27,Delivered
ORD061,2026-05-26,C061,P061,50,350,17500,2026-05-29,Delivered
ORD062,2026-05-28,C062,P062,40,120,4800,2026-06-01,Pending
ORD063,2026-05-30,C063,P063,100,30,3000,2026-06-03,Delivered
ORD064,2026-06-02,C064,P064,80,70,5600,2026-06-05,Delivered
ORD065,2026-06-04,C065,P065,10,900,9000,2026-06-08,Delivered
ORD066,2026-06-06,C066,P066,100,60,6000,2026-06-10,Pending
ORD067,2026-06-09,C067,P067,12,2500,30000,2026-06-13,Delivered
ORD068,2026-06-11,C068,P068,15,3000,45000,2026-06-15,Delivered
ORD069,2026-06-13,C069,P069,8,4500,36000,2026-06-17,Delivered
ORD070,2026-06-15,C070,P070,5,10000,50000,2026-06-19,Pending
ORD071,2026-06-18,C071,P071,6,6000,36000,2026-06-22,Delivered
ORD072,2026-06-20,C072,P072,5,8500,42500,2026-06-24,Delivered
ORD073,2026-06-22,C073,P073,8,5000,40000,2026-06-26,Delivered
ORD074,2026-06-25,C074,P074,10,3000,30000,2026-06-29,Pending
ORD075,2026-06-27,C075,P075,15,1800,27000,2026-07-01,Delivered
ORD076,2026-06-29,C076,P076,12,2200,26400,2026-07-03,Delivered
ORD077,2026-07-02,C077,P077,10,2500,25000,2026-07-06,Delivered
ORD078,2026-07-04,C078,P078,20,1500,30000,2026-07-08,Pending
ORD079,2026-07-06,C079,P079,8,3500,28000,2026-07-10,Delivered
ORD080,2026-07-09,C080,P080,6,5000,30000,2026-07-13,Delivered
ORD081,2026-07-11,C081,P081,3,30000,90000,2026-07-15,Delivered
ORD082,2026-07-13,C082,P082,2,22000,44000,2026-07-17,Pending
ORD083,2026-07-16,C083,P083,10,4500,45000,2026-07-20,Delivered
ORD084,2026-07-18,C084,P084,4,45000,180000,2026-07-22,Delivered
ORD085,2026-07-20,C085,P085,8,15000,120000,2026-07-24,Delivered
ORD086,2026-07-22,C086,P086,10,6500,65000,2026-07-26,Pending
ORD087,2026-07-24,C087,P087,6,18000,108000,2026-07-28,Delivered
ORD088,2026-07-27,C088,P088,15,4000,60000,2026-07-31,Delivered
ORD089,2026-07-29,C089,P089,8,8500,68000,2026-08-02,Delivered
ORD090,2026-07-31,C090,P090,5,15000,75000,2026-08-04,Pending
ORD091,2026-08-03,C091,P091,10,2500,25000,2026-08-07,Delivered
ORD092,2026-08-05,C092,P092,8,3500,28000,2026-08-09,Delivered
ORD093,2026-08-07,C093,P093,15,4500,67500,2026-08-11,Delivered
ORD094,2026-08-09,C094,P094,3,20000,60000,2026-08-14,Pending
ORD095,2026-08-11,C095,P095,5,6500,32500,2026-08-15,Delivered
ORD096,2026-08-13,C096,P096,8,9000,72000,2026-08-17,Delivered
ORD097,2026-08-15,C097,P097,6,22000,132000,2026-08-19,Delivered
ORD098,2026-08-16,C098,P098,4,11000,44000,2026-08-20,Pending
ORD099,2026-08-17,C099,P099,10,4500,45000,2026-08-22,Delivered
ORD100,2026-08-18,C100,P100,20,700,14000,2026-08-23,Delivered
,,,,,,,,
