Shipment_ID,Order_ID,Date,Customer_ID,Warehouse_ID,Transport_Mode,Carrier,Origin,Destination,Qty,Freight_Cost,Status
SHP001,ORD001,2026-01-05,C001,WH001,Road,VRL Logistics,Bengaluru,Bengaluru,5,2500,Delivered
SHP002,ORD002,2026-01-07,C002,WH006,Road,Blue Dart,Mysuru,Mysuru,8,3200,Delivered
SHP003,ORD003,2026-01-09,C003,WH009,Road,Delhivery,Dharwad,Dharwad,20,1800,Delivered
SHP004,ORD004,2026-01-11,C004,WH008,Road,DTDC,Hubballi,Hubballi,25,2000,Delivered
SHP005,ORD005,2026-01-13,C005,WH010,Road,Ecom Express,Belagavi,Belagavi,6,2800,Delivered
SHP006,ORD006,2026-01-15,C006,WH011,Road,VRL Logistics,Gadag,Gadag,4,1500,Delivered
SHP007,ORD007,2026-01-18,C007,WH001,Road,Delhivery,Bengaluru,Pune,12,6500,Delivered
SHP008,ORD008,2026-01-20,C008,WH031,Air,Blue Dart,Hyderabad,Hyderabad,10,5000,Delivered
SHP009,ORD009,2026-01-22,C009,WH037,Road,TCI Express,Chennai,Chennai,8,3800,Pending
SHP010,ORD010,2026-01-25,C010,WH021,Road,VRL Logistics,Mumbai,Mumbai,5,2900,Delivered
SHP011,ORD011,2026-01-28,C011,WH002,Road,Delhivery,Bengaluru,Bengaluru,10,2200,Delivered
SHP012,ORD012,2026-01-30,C012,WH006,Road,DTDC,Mysuru,Mysuru,7,1900,Delivered
SHP013,ORD013,2026-02-02,C013,WH014,Road,Ecom Express,Shivamogga,Shivamogga,15,2300,Delivered
SHP014,ORD014,2026-02-04,C014,WH015,Road,VRL Logistics,Mangaluru,Mangaluru,12,2700,Pending
SHP015,ORD015,2026-02-06,C015,WH001,Road,Delhivery,Bengaluru,Bengaluru,10,2100,Delivered
SHP016,ORD016,2026-02-09,C016,WH008,Road,TCI Express,Hubballi,Hubballi,20,2600,Delivered
SHP017,ORD017,2026-02-11,C017,WH010,Road,VRL Logistics,Belagavi,Belagavi,8,2500,Delivered
SHP018,ORD018,2026-02-13,C018,WH009,Road,DTDC,Dharwad,Dharwad,10,1800,Delivered
SHP019,ORD019,2026-02-16,C019,WH001,Air,Blue Dart,Bengaluru,Bengaluru,6,4500,Pending
SHP020,ORD020,2026-02-18,C020,WH006,Road,Delhivery,Mysuru,Mysuru,7,2100,Delivered
SHP021,ORD021,2026-02-21,C021,WH001,Road,VRL Logistics,Bengaluru,Bengaluru,30,2400,Delivered
SHP022,ORD022,2026-02-23,C022,WH016,Road,TCI Express,Tumakuru,Tumakuru,25,2200,Delivered
SHP023,ORD023,2026-02-25,C023,WH012,Road,DTDC,Davanagere,Davanagere,20,2000,Delivered
SHP024,ORD024,2026-02-27,C024,WH013,Road,Ecom Express,Ballari,Ballari,15,2700,Pending
SHP025,ORD025,2026-03-02,C025,WH001,Road,VRL Logistics,Bengaluru,Bengaluru,6,2300,Delivered
SHP026,ORD026,2026-03-04,C026,WH011,Road,Delhivery,Gadag,Gadag,8,1600,Delivered
SHP027,ORD027,2026-03-06,C027,WH017,Road,TCI Express,Haveri,Haveri,5,1800,Delivered
SHP028,ORD028,2026-03-09,C028,WH008,Road,VRL Logistics,Hubballi,Hubballi,20,2100,Delivered
SHP029,ORD029,2026-03-11,C029,WH001,Air,Blue Dart,Bengaluru,Bengaluru,12,4200,Pending
SHP030,ORD030,2026-03-13,C030,WH006,Road,Delhivery,Mysuru,Mysuru,8,2000,Delivered
