Inventory_ID,Product_ID,Product,Opening_stock,Purchases,Sales,Closing_Stock,Reorder,Status,Inventory_value
INV001,P001,Laptop,50,25,5,70,20,Normal,3150000
INV002,P002,Desktop Computer,40,30,8,62,25,Normal,2232000
INV003,P003,Mobile Phone,60,40,20,80,30,Normal,1440000
INV004,P004,Tablet,45,35,25,55,20,Normal,770000
INV005,P005,Monitor,35,30,6,59,20,Normal,531000
INV006,P006,printer,25,20,4,41,15,Normal,287000
INV007,P007,Scanner,20,15,12,23,15,Normal,161000
INV008,P008,Projector,18,12,10,20,10,Normal,216000
INV009,P009,Keyboard,80,50,20,110,40,Normal,56000
INV010,P010,Mouse,100,80,25,155,50,Normal,62000
INV011,P011,Wireless Mouse,70,40,30,80,40,Normal,40000
INV012,P012,Gaming Mouse,45,35,20,60,30,Normal,36000
INV013,P013,Mechanical Keyboard,50,40,15,75,30,Normal,112500
INV014,P014,Webcam,35,30,12,53,20,Normal,54000
INV015,P015,Headphone,60,50,10,100,30,Normal,72000
INV016,P016,Earphone,80,60,20,120,40,Normal,48000
INV017,P017,Bluetooth Speaker,45,25,8,62,25,Normal,155000
INV018,P018,Route,50,30,10,70,25,Normal,90000
INV019,P019,Wi-Fi Extender,40,25,6,59,20,Normal,147500
INV020,P020,Network Switch,30,20,7,43,15,Normal,129000
INV021,P021,USB Cable,120,100,30,190,50,Normal,57000
INV022,P022,HDMI Cable,100,80,25,155,40,Normal,60000
INV023,P023,Ethernet Cable,150,100,40,210,60,Normal,147000
INV024,P024,Pen Drive,90,60,15,135,40,Normal,108000
INV025,P025,External Hard Disk,40,25,6,59,20,Normal,265500
INV026,P026,SSD 500GB,35,30,8,57,20,Normal,199500
INV027,P027,SSD 1TB,30,25,5,50,15,Normal,300000
INV028,P028,Momery Card,70,50,20,100,30,Normal,90000
INV029,P029,Power Bank,60,40,12,88,25,Normal,105600
INV030,P030,UPS,35,25,8,52,20,Normal,156000
INV031,P031,Power Adopter,70,50,30,90,30,Normal,63000
INV032,P032,Laptop Charger,50,40,20,70,25,Normal,70000
INV033,P033,Mobile Charger,100,80,35,145,40,Normal,72500
INV034,P034,Smart Watch,40,30,12,58,20,Normal,145000
INV035,P035,Fitness Band,45,35,15,65,20,Normal,97500
INV036,P036,Office Chair,30,20,5,45,15,Normal,180000
INV037,P037,Executive Chair,25,15,4,36,10,Normal,234000
