Customer_ID,Customer_Name,City,State,Customer_Type
C001,ABC Retail,Bengaluru,Karnatak,Retail
C002,XYZ Traders,Mysuru,Karnatak,Wholesale
C003,Bright Solutions,Dharwad,Karnatak,Corporate
C004,Metro Stores,Hubballi,Karnatak,Retail
C005,Prime Distributors,Belagavi,Karnatak,Distributor
C006,Smart Mart,Gadag,Karnatak,Retail
C007,Global Office,Pune,Maharashtra,Corporate
C008,City Electronics,Hyderabad,Telangana,Retail
C009,Star Traders,Chennai,Tamil Nadu,Wholesale
C010,Royal Distributors,Mumbai,Maharashtra,Distributor
C011,Karnataka Tech Hub,Bengaluru,Karnatak,Corporate
C012,Digital Mart,Mysuru,Karnatak,Retail
C013,Green Valley Stores,Shivamogga,Karnatak,Retail
C014,South India Traders,Mangaluru,Karnatak,Wholesale
C015,Future Solutions,Bengaluru,Karnatak,Corporate
C016,City Wholesale Mart,Hubballi,Karnatak,Wholesale
C017,Elite Distributors,Belagavi,Karnatak,Distributor
C018,Smart Choice Retail,Dharwad,Karnatak,Retail
C019,NextGen Systems,Bengaluru,Karnatak,Corporate
C020,Modern Electronics,Mysuru,Karnatak,Retail
C021,Karnataka Wholesale Hub,Bengaluru,Karnatak,Wholesale
C022,Prime Tech Store,Tumakuru,Karnatak,Retail
C023,Galaxy Traders,Davanagere,Karnatak,Wholesale
C024,Universal Distributors,Ballari,Karnatak,Distributor
C025,Tech World India,Bengaluru,Karnatak,Corporate
C026,City Mart,Gadag,Karnatak,Retail
C027,Reliable Traders,Haveri,Karnatak,Wholesale
C028,Digital Point,Hubballi,Karnatak,Retail
C029,Business Tech Solutions,Bengaluru,Karnatak,Corporate
C030,Metro Distributors,Mysuru,Karnatak,Distributor
C031,Maharashtra Tech Store,Pune,Maharashtra,Retail
C032,Mumbai Electronics Hub,Mumbai,Maharashtra,Wholesale
C033,Western India Traders,Nashik,Maharashtra,Wholesale
C034,Prime Office Solutions,Pune,Maharashtra,Corporate
C035,Smart Electronics,Nagpur,Maharashtra,Retail
C036,Maharashtra Distributors,Mumbai,Maharashtra,Distributor
C037,Digital World Pune,Pune,Maharashtra,Retail
C038,TechZone Mumbai,Mumbai,Maharashtra,Corporate
C039,Metro Wholesale,Nagpur,Maharashtra,Wholesale
C040,Elite Tech Distributors,Nashik,Maharashtra,Distributor
C041,Telangana Tech Store,Hyderabad,Telangana,Retail
C042,Hyderabad Traders,Hyderabad,Telangana,Wholesale
C043,Smart Office Hyderabad,Hyderabad,Telangana,Corporate
C044,Digital Distributors,Warangal,Telangana,Distributor
C045,City Electronics Hyderabad,Hyderabad,Telangana,Retail
C046,Telangana Wholesale Hub,Warangal,Telangana,Wholesale
C047,Prime Solutions Hyderabad,Hyderabad,Telangana,Corporate
C048,Tech Mart Telangana,Nizamabad,Telangana,Retail
C049,Metro Distributors Hyderabad,Hyderabad,Telangana,Distributor
C050,Future Tech Telangana,Karimnagar,Telangana,Corporate
